6252,188,207,3.0,Heha Sky View,Taman Hiburan,15000,4.4,120.0,187,107
4684,142,268,2.0,Sudut Pandang Bandung,Taman Hiburan,50000,4.6,150.0,141,342
1731,54,103,3.0,Tugu Pal Putih Jogja,Taman Hiburan,0,4.7,15.0,53,411
4742,144,119,3.0,Lava Bantal,Budaya,5000,4.4,30.0,143,169
4521,138,288,5.0,Masjid Salman ITB,Tempat Ibadah,0,4.8,82.60975609756098,137,187
6340,191,403,2.0,Taman Barunawati,Taman Hiburan,0,4.2,30.0,190,354
576,19,9,3.0,Pelabuhan Marina,Bahari,175000,4.4,82.60975609756098,18,297
5202,158,372,2.0,Gua Maria Kerep Ambarawa,Cagar Alam,2000,4.8,82.60975609756098,157,99
6363,191,412,3.0,Masjid Nasional Al-Akbar,Tempat Ibadah,0,4.9,82.60975609756098,190,184
439,15,9,4.0,Pelabuhan Marina,Bahari,175000,4.4,82.60975609756098,14,297
2750,85,40,1.0,Galeri Nasional Indonesia,Budaya,0,4.6,82.60975609756098,84,79
7487,225,402,5.0,Food Junction Grand Pakuwon,Pusat Perbelanjaan,0,4.5,120.0,224,74
5272,160,241,1.0,Lawangwangi Creative Space,Taman Hiburan,0,4.4,120.0,159,171
5653,170,357,2.0,Wisata Alam Wana Wisata Penggaron,Cagar Alam,10000,4.1,45.0,169,427
3999,123,381,1.0,Tugu Muda Semarang,Budaya,0,4.7,82.60975609756098,122,410
6033,182,89,5.0,De Mata Museum Jogja,Budaya,50000,4.4,82.60975609756098,181,59
582,19,124,4.0,Kauman Pakualaman Yogyakarta,Budaya,0,5.0,82.60975609756098,18,144
9930,298,268,2.0,Sudut Pandang Bandung,Taman Hiburan,50000,4.6,150.0,297,342
7051,212,95,4.0,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,0,5.0,82.60975609756098,211,65
8158,245,339,5.0,Sam Poo Kong Temple,Budaya,35000,4.5,82.60975609756098,244,324
9896,297,424,2.0,Pantai Ria Kenjeran,Bahari,15000,4.2,45.0,296,276
2249,69,378,4.0,Jembatan Biru Ambarawa,Taman Hiburan,0,4.2,60.0,68,121
4640,141,51,5.0,Jakarta Planetarium,Taman Hiburan,12000,4.1,120.0,140,119
9485,285,254,4.0,Teras Cikapundung BBWS,Taman Hiburan,0,4.3,60.0,284,402
4947,149,131,5.0,Watu Lumbung,Cagar Alam,5000,4.3,30.0,148,422
9920,298,392,3.0,Ekowisata Mangrove Wonorejo,Cagar Alam,0,4.3,60.0,297,70
1963,61,361,5.0,Wisata Kampung Krisan Clapar,Taman Hiburan,10000,4.1,82.60975609756098,60,431
8243,248,165,1.0,Green Village Gedangsari,Taman Hiburan,2000,4.2,60.0,247,96
6590,198,191,2.0,Pantai Drini,Bahari,10000,4.5,82.60975609756098,197,254
8847,267,418,2.0,Museum Sepuluh Nopember Kota Surabaya,Budaya,5000,4.7,82.60975609756098,266,229
321,12,194,3.0,Pantai Wediombo,Bahari,5000,4.5,82.60975609756098,11,286
2678,83,379,2.0,Goa Rong,Cagar Alam,5000,4.3,82.60975609756098,82,93
4625,141,264,4.0,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,0,4.8,82.60975609756098,140,85
4949,149,45,3.0,Jakarta Aquarium dan Safari,Taman Hiburan,185000,4.6,82.60975609756098,148,118
8328,250,226,4.0,Kawasan Punclut,Taman Hiburan,20000,4.4,120.0,249,149
3337,102,231,3.0,The Great Asia Africa,Taman Hiburan,50000,4.4,180.0,101,404
5589,169,180,3.0,Pantai Depok Jogja,Bahari,10000,4.3,82.60975609756098,168,253
251,9,188,4.0,Pantai Sadranan,Bahari,10000,4.6,82.60975609756098,8,277
3973,122,226,2.0,Kawasan Punclut,Taman Hiburan,20000,4.4,120.0,121,149
6630,199,368,4.0,Kampoeng Rawa,Cagar Alam,3000,4.5,82.60975609756098,198,131
5547,168,428,5.0,Monumen Bambu Runcing Surabaya,Budaya,0,4.6,15.0,167,188
35,2,371,3.0,Wisata Eling Bening,Cagar Alam,25000,4.3,90.0,1,429
8362,252,199,3.0,Pantai Sedahan,Bahari,5000,4.5,82.60975609756098,251,280
